%time,field.data
1547890529606032652,-7.52197265625
1547890529609917534,-7.52197265625
1547890529611778033,-7.52197265625
1547890529614410943,-7.52197265625
1547890529618103896,-7.52197265625
1547890529620045711,-7.52197265625
1547890529622203013,-7.52197265625
1547890529626129295,-7.52197265625
1547890529627975901,-7.52197265625
1547890529630502063,-7.52197265625
1547890529634509667,-7.52197265625
1547890529636473035,-7.52197265625
1547890529638776301,-7.52197265625
1547890529642719018,-7.52197265625
1547890529644644712,-7.52197265625
1547890529646812446,-7.52197265625
1547890529650946853,-7.52197265625
1547890529652725653,-7.52197265625
1547890529655147272,-7.52197265625
1547890529659152473,-7.52197265625
1547890529660904693,-7.52197265625
1547890529663260934,-7.52197265625
1547890529667210996,-7.52197265625
1547890529669108561,-7.52197265625
1547890529671484784,-7.52197265625
1547890529675469525,-7.52197265625
1547890529677410679,-7.52197265625
1547890529679741931,-7.52197265625
1547890529683596614,-7.52197265625
1547890529685442707,-7.52197265625
1547890529687917794,-7.52197265625
1547890529691961522,-7.52197265625
1547890529694018130,-7.52197265625
1547890529696028670,-7.52197265625
1547890529699970461,-7.52197265625
1547890529701953765,-7.52197265625
1547890529704236319,-7.52197265625
1547890529708093305,-7.52197265625
1547890529710145245,-7.52197265625
1547890529712372946,-7.52197265625
1547890529716468774,-7.52197265625
1547890529718377576,-7.52197265625
1547890529720461427,-7.52197265625
1547890529724760061,-7.52197265625
1547890529726603873,-7.52197265625
1547890529728771737,-7.52197265625
1547890529732843094,-7.52197265625
1547890529734615460,-7.52197265625
1547890529736958321,-7.52197265625
1547890529741033928,-7.52197265625
1547890529742837818,-7.52197265625
1547890529745133643,-7.52197265625
1547890529749307515,-7.52197265625
1547890529751239056,-7.52197265625
1547890529753176379,-7.52197265625
1547890529757384923,-7.52197265625
1547890529759334289,-7.52197265625
1547890529761309163,-7.52197265625
1547890529765609023,-7.52197265625
1547890529767469119,-7.52197265625
1547890529769731485,-7.52197265625
1547890529773800792,-7.52197265625
1547890529775625311,-7.52197265625
1547890529777915372,-7.52197265625
1547890529781927209,-7.52197265625
1547890529783722234,-7.52197265625
1547890529786053772,-7.52197265625
1547890529790443099,-7.52197265625
1547890529792735917,-7.52197265625
1547890529794707499,-7.52197265625
1547890529798420439,-7.52197265625
1547890529800174269,-7.52197265625
1547890529802252003,-7.52197265625
1547890529806642098,-7.52197265625
